timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
466,152.0565155080402,172.12264345505375,168.6209718176613,162.20457633428813,RESTING,152.84385530215366,172.19991112468296,169.6478612834472,157.55578584159096
500,151.2037140844498,172.0094533788646,169.27881619206536,162.9809064585033,RESTING,151.97099852310697,173.5577075150678,170.18257548451038,161.2548272212349
533,150.3504199600174,172.8590345939381,170.5699183622795,164.1543760167976,RESTING,150.51107835442502,175.0562758648789,170.5896043786009,163.7648428287232
566,147.97145303703823,176.834719690726,172.93664322923118,165.5796131590043,RESTING,147.7288914379178,176.13386147756577,170.6175708244284,165.23780048354283
600,145.22705069589472,179.14372804849194,172.21674072349703,163.66511693087713,RESTING,143.68364918135322,176.73556504141388,170.61606867748074,165.56742181603084
633,142.4786701233584,176.2524858136849,170.01251473247657,165.79647087949962,RESTING,138.93082209880163,175.7484879888878,170.8560324289145,165.83374509902995
666,134.04399224662626,173.89386647900204,169.47789168326577,166.4043797245618,RESTING,133.6680600219209,173.1531725835678,171.2943488386212,166.35664273669562
700,125.6489373446784,169.68497522928644,169.7867281146484,165.58664592131026,RESTING,129.24711058372662,168.8023427976091,171.9297075167749,166.9386182824037
733,122.41140587470537,164.06450042680763,173.16071905934433,169.41568809698364,ACTIVE,125.79478138233347,163.23195699757093,172.62779087787925,167.34519201040052
766,122.41582658622832,155.42441068447033,175.56305517500886,168.43110821236644,ACTIVE,123.06872863810923,157.15638641055432,173.73960643385124,168.01273070361182
800,122.44208746049522,150.8475536965703,176.1529874305936,166.94291837222792,ACTIVE,121.60047941481672,152.38030934195166,175.07977109180223,168.2539580532649
833,124.58136817779098,146.51050778250396,175.91370364513807,168.63283824915578,ACTIVE,121.25579641223604,147.62413992202602,175.9667033546467,168.69420008309464
866,121.48669582403134,143.52123923203152,175.19266675306866,167.6733604888762,ACTIVE,121.26864537900886,143.06514222319748,176.25180255942553,168.62907842550266
900,119.10351873366493,139.7523308274743,175.9337023475268,168.92871135532505,ACTIVE,120.40698599749001,139.37749962704612,176.06584974484815,167.81117312471443
933,119.48679587229923,140.108817952159,176.82554849740902,168.00493083945494,ACTIVE,119.34125314430855,136.78830099689145,176.14850077977394,166.939715822182
966,117.4757369026341,131.5668026685744,176.02235601337054,166.92150414044863,ACTIVE,117.98487387364568,133.96288807896008,176.51639464737008,165.74619863753475
1000,117.49769317118361,128.82127091477238,176.20523707801073,163.12857379738358,ACTIVE,116.57622430210088,131.30725122979192,176.9829668884612,164.25784801410168
1033,115.04831810510439,129.87329406260045,177.57096141231474,162.08111802105668,ACTIVE,115.832421876109,128.7370288455472,177.41376804554147,162.99332894595537
1066,116.02907683168515,128.445970513795,178.5319529832098,160.9077515737903,ACTIVE,115.12685288831861,126.24354253420188,177.61709793286138,161.83629715596447
1100,113.4023462727262,123.5887305086218,177.93752745439656,161.4056259486346,ACTIVE,114.32327337802164,123.96749959820713,177.7379997832349,161.24675769965756
