timestamp_ms,right_hip_angle,right_knee_angle,fsm_state,right_hip_angle_smooth,right_knee_angle_smooth
1533,175.62748039723024,160.7151402405214,STANDING,176.3417668564103,160.8013519194816
1566,176.2212883067717,160.38988461062652,STANDING,176.43895740266757,160.54723448385636
1600,176.18456183604928,160.05756400051146,STANDING,176.16555396997217,160.1772933168144
1633,175.70195174081826,159.378798828619,STANDING,175.47716945336214,159.6222237623607
1666,175.10960690449917,158.6014320175824,STANDING,174.53591867264126,158.97012959360012
1700,172.38503800327103,157.68173117354814,STANDING,173.04059734909384,158.1935883461906
1733,169.0569562933463,156.69667293580025,STANDING,169.4254193276361,155.4509683355108
1766,166.24678002518127,154.32903727033514,STANDING,164.60558439203723,152.40188499269786
1800,161.87988104144256,150.71098091631498,STANDING,159.07797326318342,149.2246154583465
1833,153.54779650496664,145.8427655831432,STANDING,153.22811654561843,146.3537159605351
1866,142.5687187671681,137.32419334076897,STANDING,147.47955117353084,143.83999255784778
1900,140.88093528921695,142.80967559121908,STANDING,142.0594020214209,141.73093357910403
1933,137.5743256103863,141.62945379193306,STANDING,136.57217235468215,140.10431232350038
1966,133.34341237013274,141.2180998556143,STANDING,131.68739759826204,139.12506513176984
2000,128.77147889032133,138.8495643756222,STANDING,127.63908925450963,138.19695364680894
2033,124.189035012502,136.6733139062303,STANDING,123.892186564398,137.38079692625917
2066,117.74890720621168,135.15004512082714,STANDING,120.07796488676556,136.2753730047993
2100,115.67131891691713,135.0612558555606,STANDING,116.73938554700257,136.37584856558854
2133,113.49493123053699,133.88136442473458,STANDING,113.64708673274346,136.1731398110599
2166,111.62978712253143,136.9059371799885,STANDING,111.03918490440384,135.87928773022628
2200,110.55485827748866,138.97364872969027,STANDING,108.08941225425372,134.40594038384876
2233,104.75354432214642,134.2248381913104,STANDING,105.0480091820256,132.11695491861735
2266,100.83577398850275,127.64908182862011,STANDING,101.17419122704268,129.05079924240525
2300,98.11881439358736,124.75273496823644,STANDING,97.24622426850406,125.93050425792852
2333,91.98505525712187,119.73297986337002,STANDING,93.49542644998243,122.64004570033879
2366,90.48914717973837,120.40599320618355,STANDING,90.32982506637671,120.47143803458425
2400,87.34830726224762,119.76192916522356,STANDING,88.46457979610528,120.03993339642173
2433,86.77341081420069,120.69884151609982,DESCENDING,86.88738195377928,119.75288274033062
2466,85.8386161384254,119.76408195629627,DESCENDING,85.82368465051528,119.78758582945193
2500,85.5821474620554,120.13934090115447,DESCENDING,85.39505005317355,119.35014427969217
2533,85.28679528162999,118.33397440095956,DESCENDING,84.43483659573056,117.55312736677635
2566,82.48335169657823,113.79967556392022,DESCENDING,82.83102166500086,115.09070972096876
2600,81.66835153231726,114.23816454263236,DESCENDING,80.75900415968982,111.43921141952023
2633,79.2321773743252,106.91235858538037,DESCENDING,78.29484627996449,107.63557571161388
2666,74.67635395919464,102.86960752595068,DESCENDING,75.60575090302908,103.74198200626819
2700,70.7866975533546,99.51181533594217,DESCENDING,72.4358628041181,100.06135434133132
2733,70.53031530428834,95.08978860181251,DESCENDING,69.61426847718081,96.41916069677683
2766,66.8927504387062,94.88362171372006,DESCENDING,66.30856043632738,92.8847065373257
2800,64.16111549018272,91.9285818027022,DESCENDING,63.43213593610804,90.87813669198138
2833,59.75678480235165,88.40988830794556,DESCENDING,60.94749458366747,89.41907015810432
2866,59.20400899598329,86.49839731791216,DESCENDING,58.625308240199615,89.11659534223422
2900,54.76391189341627,88.15229506230428,DESCENDING,56.1960856648138,89.17915293921565
2933,55.14730415038509,90.2345573844533,DESCENDING,54.395283049094616,88.71415722578864
2966,53.56843478255591,90.76322895845233,DESCENDING,53.040805712446854,88.82078605850492
3000,52.486709257450876,91.34678378802245,DESCENDING,52.30836855150689,88.98204428320119
3033,50.834536169751416,86.99397765224157,DESCENDING,51.77800164999065,88.72453983132303
3066,51.21601059389365,85.38869518394739,DESCENDING,51.71811784909151,87.72655219877757
3100,52.093987870199115,88.07052457889777,DESCENDING,51.88683346325668,86.90327852139147
3133,52.66590961071082,87.6017354211529,DESCENDING,52.19084036824742,86.53740375259608
3166,52.70216380112347,87.33682838714336,DESCENDING,52.53683043982519,86.91161284582296
3200,52.57995568607401,87.64450950504184,DESCENDING,52.831495553751424,88.30859075450363
