timestamp_ms,right_elbow_angle,left_elbow_angle,right_plank_posture_angle,left_plank_posture_angle,fsm_state,right_elbow_angle_smooth,left_elbow_angle_smooth,right_plank_posture_angle_smooth,left_plank_posture_angle_smooth
633,154.46620070034623,169.3888402366359,176.7103031697003,174.48877336128987,RESTING,154.37725050796956,169.3602260250887,176.65407086978408,174.48008984563648
666,154.48203435547748,169.36458967654556,176.67164904604724,174.45690524273215,RESTING,154.44765788330454,169.38563448973326,176.71214855622452,174.51695506215464
700,154.37990989432845,169.2783472457192,176.54172758925554,174.52550018951763,RESTING,154.5292643150736,169.40527077396277,176.78389704038938,174.5798993244955
733,154.65141790384624,169.43699927484644,177.02126315499638,174.6561671778279,RESTING,154.62727178089284,169.42467065625095,176.92054841436158,174.65050501174915
766,154.63015009748864,169.48796750914386,177.00834748806076,174.7677306743461,RESTING,154.6915653104008,169.4255253736829,177.01978105188866,174.7221865500955
800,154.88026743767406,169.48375467913948,177.26782883251005,174.82967887035178,RESTING,154.69728674331205,169.44038345985865,177.13464416328804,174.79646369810322
833,154.7964640003252,169.4570644959273,177.21262214316457,174.8456630805915,RESTING,154.74639818055675,169.49795031004845,177.21620091145553,174.842682990605
866,154.67211750800965,169.41049095192076,177.30264872649735,174.83764442655212,RESTING,154.7935264556712,169.55835362511658,177.28295298661305,174.84266132099887
900,154.49161870446434,169.30335045656076,177.13630789524817,174.86276528602335,RESTING,154.7379569877162,169.42662254392718,177.25766575515377,174.8389811114523
933,154.56768540840199,169.4127871111038,177.2253345688286,174.81298436136612,RESTING,154.6710309149185,169.27230874427624,177.22255974749456,174.7880567685459
966,154.59385632544618,169.2939449363176,177.06448023977347,174.71315042906798,RESTING,154.76520590137616,168.94347271754657,177.07740410556062,174.71517194992822
1000,154.09816845172656,168.61643422317016,177.08892557733944,174.71262011006024,RESTING,154.67545930860786,168.60720926542567,176.91243941015844,174.65105794916713
1033,153.289697386809,167.54446603662421,176.71058968675058,174.79056223215488,RESTING,153.47769039085287,168.03672835735028,176.7088659691711,174.7476764306857
1066,152.50346739938593,167.47001019798242,176.37404472147895,174.59272046915842,RESTING,151.14881307762897,167.32516107742862,176.53306197781887,175.01152477081052
1100,150.73724121222347,166.2509069076155,175.93219856081436,174.85504530804118,RESTING,148.2013020993669,166.24168833229857,176.17225171203765,175.20646393834204
1133,144.9794964140346,165.83510717756516,175.80006182130435,175.31294409995698,RESTING,144.8250272666978,164.99159477713295,175.65010459757633,175.28417883636843
1166,137.87096283330115,163.74591089957005,175.39514433688115,175.99777551188595,RESTING,140.83509996261313,164.01248015654485,174.95115713264417,175.1256332524364
1200,135.17722319671404,162.6980596445038,174.7167911330281,175.57198568156235,RESTING,136.80043323556316,162.80302667329016,174.32612556285528,174.95061699296184
1233,133.86242926025417,160.7259764031655,173.18711843027717,174.180246678798,RESTING,132.4712577757867,161.56319177299315,173.6846442586048,174.71229348802535
1266,129.88048641318875,160.67969373884839,172.48872676338067,173.73035896679605,RESTING,128.57955649275308,160.63043310846177,173.09965508536288,174.399546420467
1300,124.76160869249476,160.8956248791687,172.12366240798102,173.33249904708674,ACTIVE,126.02416139172581,159.87164782574277,172.2663401334687,173.76285765811258
1333,122.29503267532341,158.1827556619562,172.30663472304704,173.95398129820478,ACTIVE,122.4123832930633,159.3955983253514,171.59945184127753,173.06070013536421
1366,116.97326522063997,158.7919493394819,171.3257166128904,173.2151621798983,ACTIVE,118.15205869070446,158.78851144578695,171.01277690819853,172.56679294730012
1400,115.26196311976797,158.64586628438525,170.5431276830219,172.51923864173426,ACTIVE,113.01040276278636,158.1736803091657,170.449982353415,172.32270215132337
1433,111.59769125338765,157.6108240580856,168.93650177619023,170.9454491185331,ACTIVE,108.06388557314469,156.97529126475192,169.9360409787015,172.31860208625395
1466,99.30846313885216,156.31210611140222,169.7933621457728,171.81475493530854,ACTIVE,103.24826602122124,155.95862552952525,169.3246928839405,172.35861865400523
1500,98.25460331884992,154.66198244505523,168.8299143740098,172.67169771475074,ACTIVE,98.18618612512105,155.10665988699145,168.97229945874716,172.63084980783776
1533,91.49871688329091,153.66005491604344,168.46665506111674,173.5829217972317,ACTIVE,93.43938339302754,154.05220794872884,168.97374333894595,173.31310870531001
1566,90.37589422830294,151.90024955782528,168.8344892817651,174.30062414827324,ACTIVE,88.69171926700916,153.20230442776432,168.6015227792126,173.70194107636388
1600,86.52475948924602,153.37588677046742,167.91235317117415,173.49284421949622,ACTIVE,85.13937861508343,152.39023226410535,168.11165049022645,173.87496817261905
1633,81.95416646771852,151.88315107125854,168.55383481809437,174.2305903711846,ACTIVE,83.00709850182417,151.69494684978486,167.03976368173662,173.22569348989356
1666,79.25299642993586,151.3482996159388,166.79733361933228,173.1591811697818,ACTIVE,80.32578485540603,151.65441737606275,165.9942642225491,172.20170085932702
1700,77.25620305657677,149.95052492186235,163.53371766088497,170.34892947017354,ACTIVE,78.36769820838654,150.82113371195317,164.83884780244924,170.9987864960042
1733,77.50118746786572,148.10627033369306,163.72782365478358,170.14041821086118,ACTIVE,76.0278117972222,148.2535946746156,163.91601747576104,170.28405588874446
1766,75.82635935022029,147.42090119109847,162.28089536289548,168.5221361118104,ACTIVE,74.25892628210937,144.54202853588214,163.40003256197443,170.07897257799874
1800,72.31782085239718,145.39532739012122,163.17349896319206,169.48693487131956,ACTIVE,72.40900513896932,141.07308542380974,163.2943883895676,170.30707865286848
1833,70.42496213817567,135.00969279953236,163.5530928608899,170.76836870994003,ACTIVE,70.73895047149668,137.75994005753734,163.4610357081548,170.86704955884454
1866,68.12763066730113,129.05152124428557,164.57808080772375,173.26182839944406,ACTIVE,69.06948436176697,135.11186310837925,163.7571136213365,171.60809443211218
1900,67.8338065592529,131.44163387670721,164.31380166411174,172.89757066722814,ACTIVE,67.75595502303233,132.9032897947506,163.60093566200783,172.07994083941313
1933,66.22810312203008,133.1750681759961,164.015805363648,172.81437749474057,ACTIVE,67.17106961603096,130.65840573200396,163.48726112560425,172.3987109756945
1966,68.03507316176929,131.72388510275692,161.86061819461207,171.16846286858004,ACTIVE,67.11282339603791,129.12448136558305,163.04249409747894,172.27927801744903
2000,66.92732371879961,129.8557882754965,162.28256751821948,171.53370713670716,ACTIVE,67.39767568315386,127.65879779760857,162.6060143753442,172.0158018218993
2033,68.18033289394718,125.32430775939955,161.71207967449575,171.55699165149727,ACTIVE,67.69972979996244,125.35634243105599,162.01491453897475,171.63867740599784
2066,67.84255542721513,120.78818659637273,162.12115275766834,171.3943662760167,ACTIVE,67.79768385853276,122.48261048679686,161.43357530308998,171.3640953194955
2100,67.778263697563,119.82856020460997,161.40596891899972,171.59227843515484,ACTIVE,67.80606127988142,120.3357614471422,161.00584820523068,171.09899526545104
2133,68.24520614977344,116.46457830858354,160.84350156012036,171.2048769308461,ACTIVE,67.4627264858842,119.36078740999213,160.61768383108347,170.74078103975057
2166,66.52462436548835,119.78439377306854,159.4799410402893,170.0320802322419,ACTIVE,66.97427280989359,119.27623093934334,159.95596841647085,169.99565598642297
2200,66.39201158877339,121.84802868011714,159.0673902147581,168.82825546883194,ACTIVE,66.38081323005787,120.31675579166907,159.0957637285539,168.87015306849514
2233,65.89995610537568,122.88133983887953,159.52305959165074,168.76938176472692,ACTIVE,65.82926260246711,122.14790976748773,158.87563961945526,168.28988336120244
2266,65.4648196646273,123.73737142580319,158.67180536104624,167.5632102149385,ACTIVE,65.22993526694273,123.22889092054547,159.08622057938015,168.0867868942379
2300,64.3816883022907,124.73010351991591,158.957344600322,167.37261201272716,ACTIVE,64.95290625094017,125.28024808174382,159.7233707091795,168.3543984644882
