timestamp_ms,right_shoulder_angle,left_shoulder_angle,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,fsm_state,is_aligned,right_shoulder_angle_smooth,left_shoulder_angle_smooth,right_elbow_angle_smooth,left_elbow_angle_smooth,right_knee_angle_smooth,left_knee_angle_smooth
59966,16.837705104844026,30.452106344914128,130.61722569582292,157.2010668622391,150.46460521460403,151.47210087816234,ACTIVE,True,12.932611175714403,23.95433654780618,122.55840688548395,146.5629545298708,151.41286517846055,151.53279933682683
60000,19.752515112558385,33.164034255661974,100.07018959652251,147.2311359804733,150.69416836028725,153.47737882713648,ACTIVE,True,16.149450100760717,27.886451932195428,106.25722045967353,136.31245716374048,151.4399863122464,153.17507313149105
60033,20.51831778432549,36.57257929045356,77.0468039421249,129.41273511387703,151.84808473370455,153.97613589477686,ACTIVE,True,22.99375068551514,37.00599510931398,93.41459074268963,129.5978121472044,151.66300398031296,154.8942956551023
60066,22.74870195380589,38.74267938319721,73.80508465919125,106.51687092825252,152.28639811717454,156.55872563333836,ACTIVE,True,32.831235193889775,51.99966077585727,86.49428676863597,121.97712058895505,152.61029726363563,156.62728869714834
60100,32.826213856906215,44.15608732034228,78.83966530668285,95.03517272423046,152.49441175292233,158.58106110074465,ACTIVE,True,43.51765963843054,68.7890952010319,86.2250156563485,113.92278668159297,152.98292003066027,157.72607563109
60133,63.04284093839197,93.94012993065988,105.84735160743206,133.24070526896062,152.3176447473844,159.33994406752413,ACTIVE,True,55.43253717409981,86.9609891469463,92.93896638196395,110.75967008607921,151.64947844773272,158.28192455067312
60166,71.86252047728277,113.50893378716931,108.85104602257233,111.78785215731597,151.2188081011739,158.35534135769072,ACTIVE,True,64.33133171849643,98.11070327494309,101.13799318152381,105.46533222320818,149.6605692028354,158.12985124422622
60200,75.98988989040127,124.78597426035121,109.8780607630868,98.34649220446154,148.81659009502715,157.2976252012238,ACTIVE,True,68.79704629459731,100.94139294959776,106.57962191539312,100.2717498852047,145.02055994902275,157.33047136996754
60233,70.19136646012839,99.20245183238829,109.53921210346293,97.98673941635701,138.21309159391816,155.61049717784385,ACTIVE,True,68.81832475170745,96.587439662457,104.96060431655361,99.85739655901384,139.44799611434053,155.90051764469473
60266,63.825719571362065,86.69424689095423,103.872565027576,115.03074425242112,133.53647882911392,153.95862663538043,ACTIVE,True,61.626199443638356,83.6300912943899,99.94376669138006,100.39504922619037,134.12550349721525,154.29158501078166
60300,43.73177089686588,42.73044904256554,92.5778853768547,71.0534956278486,130.29729383945312,152.5776576835703,ACTIVE,True,49.273564167545985,63.51827978747228,94.66885274547971,101.28520300591387,129.66223437658797,152.69081634900675
60333,35.02834022009171,36.5717259318593,87.79258794924293,103.56383591780711,119.40855895854438,150.812626141969,ACTIVE,True,37.551324462584894,45.73278099339533,94.96395757150482,112.80250898682581,126.25562305107687,151.2186221001055
60366,30.153049618734556,36.60685888542434,85.97255217357726,139.66172554485243,124.68413918959875,150.26758724872212,ACTIVE,True,26.79454140391992,32.25966935644641,102.07058651797907,126.89306730810961,124.80863673125299,149.79978284620094
60400,14.096657444178346,28.125397384933787,108.91732523522545,142.18894686155244,127.45258976842167,148.83752969274224,ACTIVE,True,18.94756059169793,27.029279280279503,112.76263724688361,138.03332331872656,124.64111299292371,148.5237364233132
60433,13.162437971145783,28.01636874062618,129.2440496534354,150.57873818270727,127.08822902546156,147.29800207945976,ACTIVE,True,14.312999002101607,25.633365954931172,124.33205629063141,146.5443692261219,124.57877302439573,147.39445234534628
60466,12.243465245633391,24.96765250686522,143.77852064000555,160.56364111795696,125.99513165574513,146.27814718562306,ACTIVE,True,13.374630636161832,29.534938630399218,133.8786548003377,157.01225497535032,125.19379199622128,146.56955089677908
60500,12.933052126116827,30.04163923710682,156.2632445776527,153.2181067584713,127.58533548434242,145.5787176824805,ACTIVE,True,13.704844997617759,30.198796679981655,139.44584176886838,149.85343776073188,127.02956686983578,145.81478404338407
60533,16.68031201796699,36.63128867486134,139.6078178848149,132.64301214491735,125.11389618134224,145.2819031251129,ACTIVE,True,14.918354915060801,29.24544551459882,141.4920453991536,134.84119806455595,128.31113307136175,145.31569030518853
60566,19.92421828136221,36.74392298087248,126.99980948984748,128.13908691979557,129.2498434954583,145.4082629381189,ACTIVE,True,17.262685653771772,30.50719366961866,135.9500634928118,118.57763138582109,131.08477558637176,145.25545087584575
60600,21.306956399414812,38.06984687356532,120.76094637042826,117.18408011290164,134.73222589593084,145.77600115075836,ACTIVE,True,18.422190201808583,34.609661658706585,127.24184011456708,105.50494060744553,135.14125303460523,145.5016681831969
60633,22.32382305274147,34.93413335440915,122.4487463003036,72.95244365824493,141.52101733200703,145.070624069011,ACTIVE,True,21.650229818841805,45.80110497752722,119.7652248682443,98.19887751931432,140.30863094596975,145.79922690340038
60666,20.92417561249887,44.474190234010464,121.98732878553015,77.9949479157519,146.47683857289584,146.70902081407382,ACTIVE,True,26.419340010569726,63.67755360648887,114.85873070547379,97.68071613769797,145.85447126516854,146.33666990398814
60700,26.4065698628125,77.18985307601511,106.38725307789689,98.50433554138635,151.37627949636772,147.18906135250197,ACTIVE,True,31.477718225591246,82.66990719639784,115.35447970038825,103.45218612277623,151.22551484167536,147.12250993213377
60733,36.089883784652315,109.18415352790018,110.4406879176989,131.81505815941804,154.7203882904162,147.61342804768353,ACTIVE,True,37.27461742210582,102.30014112692898,115.73454214613895,110.73115949827633,154.93210992648423,147.83620660758055
60766,50.80112176008677,140.9685816240486,121.01465585514819,135.55090561967944,159.0460570608874,147.93130811131707,ACTIVE,True,43.08978902341417,121.50297529787488,116.25182634211859,125.26134386074736,157.43248728716475,148.40197024391156
60800,52.71784893911017,147.54804034915708,120.41188885252308,134.82412940483823,159.56383551674503,149.5651646318585,ACTIVE,True,48.94526586106254,137.29847167457578,117.25195565282387,142.6178547855676,158.97900383338094,148.7061714532708
60833,51.47217434673402,128.1927353554689,121.8041814981673,142.04292326023398,158.1811362499355,149.78018203222285,ACTIVE,True,53.06960465969007,143.81837602024345,121.01381448935398,151.3240376655579,159.1315341194775,148.83521870790415
60866,55.00593100996408,132.83293101546363,114.70225303090173,142.82001389409308,157.45120708511246,148.50131974949608,ACTIVE,True,55.96074879907013,137.0453837576157,119.96785249754805,147.0064953993838,158.37598380480148,149.01095171751624
60900,55.68062742409885,133.2888206249749,119.46426354148214,159.99597792892808,157.22426308273597,148.22572730851013,ACTIVE,True,58.187453642454884,121.33844293235012,115.93829768845364,131.4956201884558,156.280529546739,149.07291731001249
60933,59.58826555996811,113.98154673723081,118.86835899861596,136.5592757348223,155.19666441537453,148.23074643512024,ACTIVE,True,59.48313210241916,100.82320204521758,109.85268275524271,117.25753929605061,153.31983816871175,149.0036741816271
