timestamp_ms,right_knee_angle,left_knee_angle,torso_angle,fsm_state,right_knee_angle_smooth,left_knee_angle_smooth,torso_angle_smooth
833,91.59332168313425,103.09701893722251,84.60063482568721,ACTIVE,90.47006750138564,103.29216195541608,83.69877909772077
866,89.22863429764467,104.0622646874478,81.40173745740725,ACTIVE,89.16297417921945,103.00707434085669,81.69923816919497
900,87.5896294183699,102.29705825774616,79.27931820871244,ACTIVE,88.53787742709937,102.66441689112582,80.07889357306225
933,86.99121359138057,102.12784419674855,77.9462826789747,ACTIVE,88.4571543447135,102.56439719786474,78.77732707866063
966,87.99297906618904,101.15007968058124,77.88061695556213,ACTIVE,88.59996030720764,102.09157602273302,78.01683700416594
1000,90.01502520665683,102.13074857755988,78.08798056596781,ACTIVE,88.98638863521069,101.49322882975181,77.73647815649304
1033,91.22771868202466,102.14246322317112,78.00910173220385,ACTIVE,89.63858582687351,100.8084608300129,77.81205113871607
1066,90.43656025860345,100.76111913712494,77.89026342480881,ACTIVE,89.95629875426359,100.15883657796044,77.73996121551973
1100,88.80153894680683,97.42832046681582,77.80602088791926,ACTIVE,89.91578330146623,99.1620816446327,77.44193621292567
1133,89.49623137039097,98.39550654759749,77.1487609456545,ACTIVE,89.49247151336846,98.27652918951938,76.85455269037163
1166,89.0446428853689,97.87492924022251,76.15071512010358,ACTIVE,88.87028914070689,97.40027514429788,76.16552081224519
1200,87.88871553573689,96.3058283465432,74.96056369607929,ACTIVE,88.29572993707791,96.72324981017621,75.37198086839311
1233,88.24122530628227,96.11570813833579,74.4744533592644,ACTIVE,87.95923894670449,96.47309462815532,74.59529095779808
1266,87.91116993473469,96.97064492883266,73.93655659800962,ACTIVE,87.77884368457748,96.4630594799371,73.9102918971235
1300,87.40665727270279,96.48696180999178,73.5695712252573,ACTIVE,87.4252911598816,96.14245746472,73.37401397748012
1333,86.95483482423188,95.74322960410684,72.78783465121535,ACTIVE,87.36887438394152,96.27364869572457,73.11008463956075
1366,87.27323540771351,96.558484132386,72.8503531248579,ACTIVE,87.35281630494453,96.53963465570554,72.85352351731127
1400,87.61359297205321,96.50333359891746,72.61034665824309,ACTIVE,87.33126732076047,96.7014425442887,72.56818936588427
